3212085,Libro del desasosiego,Fernando Pessoa,"Pessoa, Fernando",Perfecto E. Cuadrado,"=""8415689489""","=""9788415689485""",5,4.41,Acantilado,Paperback,608,2013,1982,,2024/07/02,,,read,,,,1,0
338798,Ulysses,James Joyce,"Joyce, James","John M. Woolsey, Morris L. Ernst","=""""","=""""",0,3.75,Vintage,Paperback,925,1990,1922,,2024/07/02,,,read,,,,1,0
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Joseph Frank","=""""","=""""",5,4.27,Penguin,Paperback,671,2002,1866,,2024/07/02,,,read,,,,1,0
195024,A Mathematician Reads the Newspaper,John Allen Paulos,"Paulos, John Allen",,"=""038548254X""","=""9780385482547""",0,3.59,Anchor,Paperback,224,1997,,,2024/07/02,science,science (#5),read,,,,1,0
3192527,inumerancy,John Allen Paulos,"Paulos, John Allen",,"=""""","=""""",4,3.78,,,240,2008,1988,,2011/04/06,science,science (#4),read,,,,1,0
271361,e: the Story of a Number,Eli Maor,"Maor, Eli",,"=""0691058547""","=""9780691058542""",5,3.94,Princeton University Press,Paperback,248,1998,1993,,2024/07/01,science,science (#3),read,,,,1,0
67450,Iacobus,Matilde Asensi,"Asensi, Matilde",,"=""8408068571""","=""9788408068570""",4,3.73,Editorial Planeta,Mass Market Paperback,384,2006,2000,,2020/01/07,,,read,,,,1,0
4457475,Matar y guardar la ropa,Carlos Salem,"Salem, Carlos",,"=""8493563595""","=""9788493563592""",4,3.74,Salto de Página,Paperback,248,2008,2008,,2024/07/02,,,read,,,,1,0
13497498,Un jamón calibre 45,Carlos Salem,"Salem, Carlos",,"=""8490061106""","=""9788490061107""",4,3.51,RBA,Paperback,300,2011,2011,,2024/07/02,,,read,,,,1,0
13404370,Pero sigo siendo el rey (Spanish Edition),Carlos Salem Sola,"Sola, Carlos Salem",,"=""8493635472""","=""9788493635473""",0,3.85,Salto de Página,Paperback,352,2009,2009,,2024/07/02,,,read,,,,1,0
